name;diameter;count;price;type_size;category
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;50;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;50;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;50;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;50;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;65;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;65;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;65;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;65;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;80;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;80;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;80;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;80;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;100;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;100;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;100;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;100;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;125;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;125;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;125;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;125;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;150;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;150;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
